ID（攻击牌从1001起，技能牌从2001起，防御牌从3001起）,显示名称,卡牌描述,能量费用,卡牌类型（1攻击，2技能，3防御）,射门类型（0无，1直球，2香蕉球，3挑射，4随机）,稀有度（1普通，2Boss）,攻击延迟拍数（最小精度0.0001拍）,多段攻击间隔拍数（最小精度0.0001拍）,效果模板ID,基础数值（多步骤用|分隔）,生效次数（多步骤用|分隔）,每点剩余能量加成（多步骤用|分隔）,效果倍率百分比（多步骤用|分隔）,触发概率百分比（多步骤用|分隔）,成功后中断（0否1是；多步骤用|分隔）,来源资源文件（不含.tres后缀）,流派倾向（仅供策划查看，程序不参与判定）
id,display_name,description,cost,card_type,shot_type,rarity,attack_delay_beats,multi_hit_interval_beats,effect_id,amounts,hits,amounts_per_energy,multipliers,chances,interrupts,source_file,archetype_hint
uint16,string,string,uint8,uint8,uint8,uint8,float32,float32,uint16,uint16_list,uint8_list,uint8_list,uint8_list,uint8_list,uint8_list,string,string
1001,射门,造成6点伤害,1,1,1,1,1,0.5,1,6,1,0,100,100,0,card_straight_shot,通用·直球
1002,香蕉球,造成6点伤害,1,1,2,1,1,0.5,1,6,1,0,100,100,0,card_banana_shot,桑巴精灵·香蕉基础
1003,挑射,足球飞行2拍后造成6点伤害,1,1,3,1,2,0.5,1,6,1,0,100,100,0,card_lob_shot,通用·挑射
1004,连续射门,以0.25拍间隔连续攻击4次，每次造成3点伤害,2,1,4,1,1,0.25,1,3,4,0,100,100,0,card_barrage_shot,鼓手·快速多段
1005,爆炸球,50%概率爆炸：自身受到3点伤害并中断；否则造成12点伤害,1,1,1,2,1,0.5,2,3|12,1|1,0|0,100|100,50|100,1|0,card_explosion_ball,暴力·风险攻击
1006,能量射门,造成6点伤害，每有1点剩余能量额外造成2点伤害,1,1,1,2,1,0.5,1,6,1,2,100,100,0,card_energy_shot,通用·能量保留
1007,一组射门,随机射门4次，每次造成2点伤害，间隔0.25拍,1,1,4,2,1,0.25,1,2,4,0,100,100,0,card_shot_group,鼓手·快速多段
1008,双向香蕉球,香蕉球攻击2次，每次造成3点伤害,1,1,2,2,1,0.5,1,3,2,0,100,100,0,card_double_banana_shot,桑巴精灵·多段香蕉
1009,嗜血球,造成6点伤害，然后恢复3点生命,1,1,1,1,1,0.5,3,6|3,1|1,0|0,100|100,100|100,0|0,card_bloodthirsty_ball,通用·续航
1010,尖刺球,自身受到1点伤害，然后对敌人造成6点伤害,1,1,2,2,1,0.5,2,1|6,1|1,0|0,100|100,100|100,0|0,card_spiked_ball,暴力·自伤
1011,橄榄球,使用随机射门造成6点伤害,1,1,4,1,1,0.5,1,6,1,0,100,100,0,card_rugby_ball,通用·随机球型
1012,外脚背弧线,造成5点香蕉球伤害；若与上一颗香蕉球方向相反，额外造成3点伤害,1,1,2,1,1,0.5,1,5,1,0,100,100,0,card_outside_curve,桑巴精灵·换向香蕉
1013,桑巴二重奏,向左、向右各踢出1颗香蕉球，每颗造成3点伤害,1,1,2,1,1,0.5,1,3,2,0,100,100,0,card_samba_duet,桑巴精灵·左右香蕉
1014,回旋帽子戏法,连续射出3颗方向交替的香蕉球，每颗造成3点伤害,2,1,2,1,1,0.25,1,3,3,0,100,100,0,card_spinning_hat_trick,桑巴精灵·多段香蕉
1015,底线倒三角,造成4点香蕉球伤害；若与上一颗香蕉球方向相同，额外造成2点伤害,1,1,2,1,1,0.5,1,4,1,0,100,100,0,card_cutback_triangle,桑巴精灵·同向香蕉
1016,嘉年华终曲,造成4点香蕉球伤害；本回合每打出1张技能牌便追加1颗，最多追加4颗,3,1,2,2,1,0.25,1,4,1,0,100,100,0,card_carnival_finale,桑巴精灵·技能终结
2001,攻守兼备,造成5点伤害，获得5点护盾,2,2,1,1,1,0.5,4,5|5,1|1,0|0,100|100,100|100,0|0,card_attack_and_defend,通用·攻防一体
2002,助跑,伤害变为1.5倍，持续2个自身回合,1,2,0,1,1,0.5,5,2,1,0,150,100,0,card_run_up,通用·强化
2003,虚弱,目标伤害变为0.5倍，持续2个目标回合,1,2,0,1,1,0.5,6,2,1,0,50,100,0,card_weakness,通用·削弱
2004,佳得乐,恢复6点生命,1,2,0,1,1,0.5,7,6,1,0,100,100,0,card_sports_drink,通用·续航
2005,毛巾,恢复2点能量,1,2,0,1,1,0.5,8,2,1,0,100,100,0,card_towel,通用·能量
2006,升调,BGM升高1个半音,1,2,0,1,1,0.5,9,0,1,0,100,100,0,card_pitch_up,鼓手·音调
2007,降调,BGM降低1个半音,1,2,0,1,1,0.5,10,0,1,0,100,100,0,card_pitch_down,鼓手·音调
2008,原调,BGM恢复原始音调,1,2,0,1,1,0.5,11,0,1,0,100,100,0,card_pitch_reset,鼓手·音调
2009,弹道偏左,本场战斗所有香蕉球改为向左踢出，直到当前怪物死亡,1,2,0,1,1,0.5,12,0,1,0,100,100,0,card_banana_left,桑巴精灵·方向控制
2010,弹道偏右,本场战斗所有香蕉球改为向右踢出，直到当前怪物死亡,1,2,0,1,1,0.5,13,0,1,0,100,100,0,card_banana_right,桑巴精灵·方向控制
2011,彩虹过人,下一张攻击牌改为香蕉球，且每段伤害+1,1,2,0,1,1,0.5,15,0,1,0,100,100,0,card_rainbow_dribble,桑巴精灵·香蕉启动
