效果模板ID,效果模板名称,效果描述（仅供策划查看，不参与程序结算）
effect_id,name,description
uint16,string,string
1,对敌造成伤害,按卡牌填写的基础数值和生效次数对敌人造成伤害
2,先自身受伤再对敌造成伤害,先对自身造成伤害再伤害敌人；是否触发与中断由卡牌数值决定
3,对敌伤害后自身治疗,先对敌人造成伤害再为自身恢复生命
4,对敌伤害后自身获得护盾,先对敌人造成伤害再为自身增加护盾
5,自身获得力量,为自身施加力量；持续回合和倍率由卡牌数值决定
6,对敌施加虚弱,为敌人施加虚弱；持续回合和倍率由卡牌数值决定
7,自身治疗,按卡牌基础数值恢复自身生命
8,自身恢复能量,按卡牌基础数值恢复自身能量
9,BGM升调,打出后使背景音乐升高一个半音
10,BGM降调,打出后使背景音乐降低一个半音
11,BGM原调,打出后使背景音乐恢复原始音调
12,香蕉球弹道偏左,本场战斗的香蕉球从左侧踢出直到当前怪物死亡
13,香蕉球弹道偏右,本场战斗的香蕉球从右侧踢出直到当前怪物死亡
14,自身获得护盾,按卡牌基础数值为自身增加护盾
15,卡牌专属规则,具体行为由卡牌数字ID对应的战斗规则处理
