战利品数字ID,效果序号（同一战利品从1连续递增）,触发时机,效果操作,目标键或命令名,效果数值,触发概率百分比,卡牌过滤（0任意，1攻击，2防御，3技能）,球型过滤（0任意，1无，2直球，3香蕉球，4挑射，5随机）,方向过滤（0任意，1左，2右）,节奏过滤（0任意，1Perfect，2Good，3Miss）,目标过滤（0任意，1敌方，2自身）,是否要求有效射门（0否1是）,计数器键,计数下限,计数上限,每回合一次（0否1是）,小节拍位过滤（-1任意）,是否要求小节最后一拍（0否1是）,最小节拍细分,最大回合数,是否要求快速连击（0否1是）,生命百分比阈值,回合间隔（0不限制）
item_id,effect_index,trigger,operation,target_key,amount,chance_percent,card_filter,shot_filter,direction_filter,rhythm_filter,target_filter,requires_shot,counter_key,counter_minimum,counter_maximum,once_per_turn,beat_in_bar_filter,requires_last_beat,minimum_subdivision,maximum_turn,requires_rapid_hits,source_health_below_percent,turn_interval
uint16,uint8,uint8,uint8,string,float32,uint8,uint8,uint8,uint8,uint8,uint8,uint8,string,uint16,uint16,uint8,int8,uint8,uint8,uint16,uint8,uint8,uint8
4002,1,9,2,shot_type,2,100,0,0,0,0,0,1,,0,999,0,-1,0,0,999,0,0,0
4004,1,2,1,card_effect_multiplier,2,100,0,0,0,0,0,0,,0,999,1,0,0,0,999,0,0,0
4008,1,4,9,amount,1,100,0,0,0,0,1,0,,0,4,0,-1,0,0,999,1,0,0
4009,1,1,5,gain_shield,5,100,0,0,0,0,0,0,,0,999,0,-1,0,0,1,0,0,0
4010,1,2,6,amount,0,100,0,0,0,0,0,1,banana_streak,0,5,0,-1,0,0,999,0,0,0
4010,2,4,7,amount,1,100,0,3,0,0,1,0,banana_streak,0,999,0,-1,0,0,999,0,0,0
4012,1,4,0,amount,2,100,0,3,1,0,1,0,,0,999,0,-1,0,0,999,0,0,0
4013,1,4,0,amount,2,100,0,3,2,0,1,0,,0,999,0,-1,0,0,999,0,0,0
4014,1,5,5,gain_health,1,25,0,3,0,0,1,0,,0,999,0,-1,0,0,999,0,0,0
4015,1,3,3,amount,1,100,0,0,0,0,0,0,hercules_cup_cards,0,10,0,-1,0,0,999,0,0,0
4015,2,2,2,value_multiplier,2,100,1,0,0,0,0,0,hercules_cup_cards,10,999,0,-1,0,0,999,0,0,0
4015,3,2,4,amount,0,100,1,0,0,0,0,0,hercules_cup_cards,10,999,0,-1,0,0,999,0,0,0
4018,1,6,8,amount,1,100,0,0,0,0,0,0,lumberjack_yellow_active,0,999,0,-1,0,0,999,0,0,0
4018,2,1,4,amount,0,100,0,0,0,0,0,0,lumberjack_yellow_active,0,999,0,-1,0,0,999,0,0,0
4018,3,4,7,amount,2,100,0,0,0,0,1,0,lumberjack_yellow_active,0,999,0,-1,0,0,999,0,0,0
4019,1,2,2,slipper_damage,5,10,1,0,0,0,0,0,,0,999,0,-1,0,0,999,0,0,0
4021,1,3,3,amount,1,100,3,0,0,0,0,0,parrot_feather_bonus,0,999,0,-1,0,0,999,0,0,0
4021,2,2,7,attack_bonus,1,100,1,0,0,0,0,0,parrot_feather_bonus,0,999,0,-1,0,0,999,0,0,0
4021,3,2,4,amount,0,100,1,0,0,0,0,0,parrot_feather_bonus,0,999,0,-1,0,0,999,0,0,0
4022,1,4,0,amount,1,100,0,0,0,0,1,0,,0,999,0,-1,0,8,999,0,0,0
4025,1,8,5,gain_shield,3,100,0,0,0,0,0,0,,0,999,0,-1,1,0,999,0,0,0
4026,1,2,1,card_effect_multiplier,2,100,0,0,0,0,0,0,,0,999,0,-1,0,0,999,0,0,0
4027,1,4,10,amount,1.5,100,0,0,0,0,1,0,,0,999,0,-1,0,0,999,0,30,0
4028,1,3,3,amount,1,100,3,0,0,0,0,0,wishing_bracelet_cards,0,2,0,-1,0,0,999,0,0,0
4028,2,3,5,gain_energy,1,100,3,0,0,0,0,0,wishing_bracelet_cards,2,999,0,-1,0,0,999,0,0,0
4028,3,3,4,amount,0,100,3,0,0,0,0,0,wishing_bracelet_cards,2,999,0,-1,0,0,999,0,0,0
4030,1,1,5,gain_temporary_energy,1,100,0,0,0,0,0,0,,0,999,0,-1,0,0,1,0,0,0
4031,1,1,5,gain_temporary_energy,1,100,0,0,0,0,0,0,,0,999,0,-1,0,0,999,0,0,3
4032,1,3,5,gain_energy,1,100,0,0,0,0,0,0,,0,999,1,-1,0,0,999,0,0,0
4033,1,8,5,carry_unspent_energy,0,100,0,0,0,0,0,0,,0,999,0,-1,0,0,999,0,0,0
