唯一运行时ID（普通战利品从4001起，Boss战利品从5001起）,英文迁移键（仅旧存档与资源关联使用）,显示名称,战利品描述,品级（0普通，1Boss）,旧式加成类型（0全射门，1直球，2香蕉球，3挑射，4无）,旧式加成数值,游戏历程能量上限加成,实装状态（0不在正常游戏中出现，1正常出现；资源仍保留用于旧存档与调试）,来源资源文件（不含.tres后缀）
id,item_id,display_name,description,rarity,modifier_type,amount,run_max_energy_bonus,enabled,source_file
uint16,string,string,string,uint8,uint8,uint16,uint8,uint8,string
4001,item_banana_scarf,弧线围巾,香蕉球伤害+1,0,2,1,0,1,item_banana_scarf
4002,item_banana,香蕉,所有踢出的球都变为香蕉球,0,4,0,0,1,item_banana
4003,item_bar_dice,酒吧骰子,每次释放主动技后，50%概率下一次对敌伤害×2，否则直接结束回合,0,4,0,0,1,item_bar_dice
4004,item_big_drum_mallet,大鼓槌,当前BGM小节第一拍打出的卡牌数值效果翻倍，每回合生效一次,0,4,0,0,1,item_big_drum_mallet
4005,item_blank_score,无字乐谱,回合结束时未出过牌，下一回合第一张牌的数值效果×4,0,4,0,0,1,item_blank_score
4006,item_blindfold,蒙眼布,手牌上限为1；主动技改为换牌，每回合可用3次,0,4,0,0,1,item_blindfold
4007,item_chunghwa_cigarettes,一条中华,本回合红牌阈值从10张改为20张；黄牌阈值仍为5张,0,4,0,0,1,item_chunghwa_cigarettes
4008,item_double_bass_pedal,双踩,同一张牌按BGM半拍或更短间隔连拍命中时，每段伤害依次+1，最多+4,0,4,0,0,1,item_double_bass_pedal
4009,item_drum_isolation_screen,鼓手隔音屏,每场战斗首回合开始时获得5点护盾,0,4,0,0,1,item_drum_isolation_screen
4010,item_free_kick_master_license,任意球大师证,连续踢出香蕉球时，每张后续香蕉球每段伤害累计+1，最多+5；其他球打断连击,0,4,0,0,1,item_free_kick_master_license
4011,item_golden_boot,金靴,所有射门伤害+1,0,0,1,0,1,item_golden_boot
4012,item_golden_left_foot,黄金左脚,所有向左踢出的香蕉球每段伤害+2,0,4,0,0,1,item_golden_left_foot
4013,item_golden_right_foot,黄金右脚,所有向右踢出的香蕉球每段伤害+2,0,4,0,0,1,item_golden_right_foot
4014,item_gorilla_doll,猩猩玩偶,香蕉球每段命中后有25%概率立即恢复1点生命,0,4,0,0,1,item_gorilla_doll
4015,item_hercules_cup,大力神杯,累计打出10张牌后，下一张攻击牌每段伤害翻倍，然后重新计数,0,4,0,0,1,item_hercules_cup
4016,item_in_ear_monitor,耳返,无论何时出牌，都视为完美卡在当前BGM拍子上；不改变真实拍位,0,4,0,0,1,item_in_ear_monitor
4017,item_lob_badge,挑射徽章,挑射伤害+1,0,3,1,0,1,item_lob_badge
4018,item_lumberjack_axe,伐木斧,本回合获得黄牌后，后续攻击每段伤害+2,0,4,0,0,1,item_lumberjack_axe
4019,item_national_flip_flops,国民人字拖,每打出1张攻击牌，有10%概率追加踢出人字拖，造成5点伤害,0,4,0,0,1,item_national_flip_flops
4020,item_nude_license,全裸许可证,将牌组中所有防御牌替换为等量的赤膊；赤膊仍为防御牌，消耗1点能量并获得2点能量,0,4,0,0,1,item_nude_license
4021,item_parrot_feather,鹦鹉羽毛,每打出1张技能牌，下一张攻击牌的每段伤害+1，可叠加,0,4,0,0,1,item_parrot_feather
4022,item_racing_drumsticks,竞速鼓棒,BGM处于1/8或更快细分时，对敌每段伤害+1,0,4,0,0,1,item_racing_drumsticks
4023,item_rest_score,空拍乐谱,回合结束时只出过1张牌，下一回合第一张牌的数值效果×2,0,4,0,0,1,item_rest_score
4024,item_rhythm_game_trophy,音游奖杯,主动技QTE四次全部Perfect时，效果数值翻倍；持续回合不翻倍,0,4,0,0,1,item_rhythm_game_trophy
4025,item_rotating_drums,回转鼓组,在当前BGM小节最后一拍结束回合时，获得3点护盾,0,4,0,0,1,item_rotating_drums
4026,item_spiked_drum_mallet,狼牙鼓槌,出牌后不再自动抽牌，但所有卡牌数值效果翻倍,0,4,0,0,1,item_spiked_drum_mallet
4027,item_tattoo_sticker,纹身贴,生命低于30%时，对敌伤害×1.5，结果向上取整,0,4,0,0,1,item_tattoo_sticker
4028,item_wishing_bracelet,许愿手绳,每打出2张技能牌，恢复1点能量,0,4,0,0,1,item_wishing_bracelet
4029,item_energy_core,能量核心,获得后在本次游戏历程中能量上限永久+1,0,4,0,1,1,item_energy_core
4030,item_startup_battery,启动电池,每场战斗首回合获得1点临时额外能量,0,4,0,0,1,item_startup_battery
4031,item_three_phase_charger,三相充能器,每逢第3、6、9回合获得1点临时额外能量,0,4,0,0,1,item_three_phase_charger
4032,item_energy_saving_bracelet,节能手环,每回合打出的第一张牌结算后恢复1点能量,0,4,0,0,1,item_energy_saving_bracelet
4033,item_energy_storage_badge,蓄能徽章,回合结束时未用完的能量延续到下一回合并作为临时额外能量,0,4,0,0,1,item_energy_storage_badge
5001,item_number_7,葡萄牙7号,直球射门伤害+1,1,1,1,0,1,item_number_7
5002,item_number_10,阿根廷10号,香蕉球伤害+1,1,2,1,0,1,item_number_10
5003,item_corner_flag,角旗杆（未启用）,需要角球卡，当前版本不进入奖励池,1,4,0,0,0,item_corner_flag_disabled
