效果唯一数字ID,关联行为ID,步骤序号（从1连续递增）,效果类型（0伤害1护盾2治疗3虚弱4力量5吸血6流血7格挡8反伤9蓄力）,目标（0玩家1怪物）,效果数值（0～999）,伤害段数或反伤次数（1～20）,持续回合（0～99）,倍率百分比（100为原值）,打断规则（0无1有效命中2有效伤害3Perfect攻击牌4不同球型攻击牌5Perfect卡牌；多条蓄力取或）,打断阈值（0无）,中文备注（仅供策划阅读，不参与程序结算）
id,action_id,step,effect_type,target,amount,hits,turns,multiplier_percent,break_rule,threshold,remark
uint16,uint16,uint8,uint8,uint8,uint16,uint8,uint8,uint16,uint8,uint16,string
1,1,1,0,0,5,1,0,100,0,0,啄击：对玩家造成5点伤害
2,2,1,0,0,3,1,0,100,0,0,撕裂啄击：对玩家造成3点伤害
3,2,2,6,0,2,1,2,100,0,0,撕裂啄击：使玩家每回合流血2点，持续2回合
4,3,1,1,1,5,1,0,100,0,0,羽翼防守：自身获得5点护盾
5,4,1,0,0,6,1,0,100,0,0,慢速射门：对玩家造成6点伤害
6,5,1,1,1,8,1,0,100,0,0,缩壳：自身获得8点护盾
7,5,2,7,1,4,1,0,100,0,0,缩壳：自身下一次受伤先格挡4点
8,6,1,0,0,4,1,0,100,0,0,快踢：对玩家造成4点伤害
9,7,1,0,0,3,2,0,100,0,0,双连踢：对玩家连续造成2次3点伤害
10,8,1,0,0,9,1,0,100,0,0,冲撞：对玩家造成9点伤害
11,9,1,9,1,0,1,0,100,1,3,助跑：蓄力打断条件：受到3次有效命中；同一行为的条件任一达成即可
12,10,1,0,0,18,1,0,100,0,0,重炮：对玩家造成18点伤害
13,11,1,0,0,6,1,0,100,0,0,失衡冲撞：对玩家造成6点伤害
14,12,1,0,0,8,1,0,100,0,0,滚动撞击：对玩家造成8点伤害
15,13,1,1,1,10,1,0,100,0,0,尖甲架势：自身获得10点护盾
16,13,2,8,1,2,2,0,100,0,0,尖甲架势：自身受有效伤害时反伤2点，最多2次
17,14,1,0,0,12,1,0,100,0,0,重炮射门：对玩家造成12点伤害
18,15,1,1,1,16,1,0,100,0,0,铁壁守门：自身获得16点护盾
19,15,2,7,1,6,1,0,100,0,0,铁壁守门：自身下一次受伤先格挡6点
20,16,1,9,1,0,1,0,100,2,18,象鼻助跑：蓄力打断条件：受到18点有效伤害；同一行为的条件任一达成即可
21,17,1,0,0,22,1,0,100,0,0,全场重炮：对玩家造成22点伤害
22,18,1,0,0,8,1,0,100,0,0,失衡射门：对玩家造成8点伤害
23,19,1,0,0,10,1,0,100,0,0,精准射击：对玩家造成10点伤害
24,20,1,1,1,12,1,0,100,0,0,机械护卫：自身获得12点护盾
25,21,1,0,0,4,3,0,100,0,0,连发射击：对玩家连续造成3次4点伤害
26,22,1,0,0,10,1,0,100,0,0,猎豹突袭：对玩家造成10点伤害
27,23,1,9,1,0,1,0,100,3,1,猎豹蓄势：蓄力打断条件：玩家打出1张Perfect攻击牌；同一行为的条件任一达成即可
28,23,2,9,1,0,1,0,100,2,16,猎豹蓄势：蓄力打断条件：受到16点有效伤害；同一行为的条件任一达成即可
29,24,1,0,0,18,1,0,100,0,0,高速扑击：对玩家造成18点伤害
30,25,1,0,0,7,1,0,100,0,0,失衡轻击：对玩家造成7点伤害
31,26,1,1,1,16,1,0,100,0,0,河马坚守：自身获得16点护盾
32,27,1,0,0,11,1,0,100,0,0,河马重踢：对玩家造成11点伤害
33,28,1,0,0,14,1,0,100,0,0,熊掌重击：对玩家造成14点伤害
34,29,1,1,1,14,1,0,100,0,0,熊式防守：自身获得14点护盾
35,30,1,9,1,0,1,0,100,2,24,重炮蓄力：蓄力打断条件：受到24点有效伤害；同一行为的条件任一达成即可
36,31,1,0,0,28,1,0,100,0,0,熊式重炮：对玩家造成28点伤害
37,32,1,0,0,10,1,0,100,0,0,失准射门：对玩家造成10点伤害
38,33,1,0,0,8,2,0,100,0,0,双刃连击：对玩家连续造成2次8点伤害
39,34,1,1,1,20,1,0,100,0,0,螳螂守势：自身获得20点护盾
40,34,2,7,1,8,1,0,100,0,0,螳螂守势：自身下一次受伤先格挡8点
41,35,1,3,0,0,1,1,50,0,0,压迫节奏：玩家伤害倍率降至50%，持续1回合
42,36,1,9,1,0,1,0,100,2,30,冠军蓄力：蓄力打断条件：受到30点有效伤害；同一行为的条件任一达成即可
43,36,2,9,1,0,1,0,100,1,6,冠军蓄力：蓄力打断条件：受到6次有效命中；同一行为的条件任一达成即可
44,36,3,9,1,0,1,0,100,5,2,冠军蓄力：蓄力打断条件：玩家打出2张Perfect卡牌；同一行为的条件任一达成即可
45,37,1,0,0,32,1,0,100,0,0,冠军绝杀：对玩家造成32点伤害
46,38,1,0,0,6,2,0,100,0,0,失衡双踢：对玩家连续造成2次6点伤害
47,39,1,0,0,8,1,0,100,0,0,刺球射门：对玩家造成8点伤害
48,40,1,1,1,8,1,0,100,0,0,尖刺防守：自身获得8点护盾
49,40,2,8,1,3,1,0,100,0,0,尖刺防守：自身受有效伤害时反伤3点，最多1次
50,41,1,0,0,12,1,0,100,0,0,猎鹰俯冲：对玩家造成12点伤害
51,42,1,9,1,0,1,0,100,4,2,锁定目标：蓄力打断条件：玩家打出2种不同球型的攻击牌；同一行为的条件任一达成即可
52,42,2,9,1,0,1,0,100,2,22,锁定目标：蓄力打断条件：受到22点有效伤害；同一行为的条件任一达成即可
53,43,1,0,0,24,1,0,100,0,0,精准扑击：对玩家造成24点伤害
54,44,1,0,0,9,1,0,100,0,0,偏航攻击：对玩家造成9点伤害
