行为唯一数字ID,行为名称,行为类别（0攻击1防御2技能）,玩家可见效果说明,蓄力打断后替代行为ID（0无）
id,display_name,category,description,interrupted_action_id
uint16,string,uint8,string,uint16
1,啄击,0,造成5点伤害,0
2,撕裂啄击,0,造成3点伤害并施加流血2点持续2回合,0
3,羽翼防守,1,获得5点护盾,0
4,慢速射门,0,造成6点伤害,0
5,缩壳,1,获得8点护盾并格挡下一次伤害4点,0
6,快踢,0,造成4点伤害,0
7,双连踢,0,连续造成2次3点伤害,0
8,冲撞,0,造成9点伤害,0
9,助跑,2,蓄力下一次重炮；受到3次有效命中可打断,0
10,重炮,0,造成18点伤害,11
11,失衡冲撞,0,造成6点伤害,0
12,滚动撞击,0,造成8点伤害,0
13,尖甲架势,1,获得10点护盾；下回合前2次受伤各反伤2点,0
14,重炮射门,0,造成12点伤害,0
15,铁壁守门,1,获得16点护盾并格挡下一次伤害6点,0
16,象鼻助跑,2,蓄力下一次重炮；受到18点有效伤害可打断,0
17,全场重炮,0,造成22点伤害,18
18,失衡射门,0,造成8点伤害,0
