怪物唯一数字ID（6001～6099）,显示名称,级别（0小怪1精英2Boss）,章节（1～3）,最大生命（1～9999）,行动模式（0固定1随机）,行为ID列表（分号分隔允许重复）,随机权重（分号分隔空值等概率）,启用（0否1是）,资源文件名（不含扩展名）,怪物图片ID（0表示通用占位图，非零对应同名PNG）
id,display_name,tier,chapter,max_health,action_mode,action_ids,action_weights,enabled,source_file,image_id
uint16,string,uint8,uint8,uint16,uint8,uint16_list,uint16_list,uint8,string,uint16
6001,鸡,0,1,28,0,1;2;3,,1,enemy_street_chicken,7001
6002,乌龟,0,1,36,0,5;4,,1,enemy_street_turtle,0
6003,兔子,0,1,24,0,6;6;7,,1,enemy_rabbit,0
6008,机器人,0,3,54,0,19;20;21,,1,enemy_arena_robot,0
6009,猎豹,0,3,48,0,22;23;24,,1,enemy_leopard,0
6010,河马,0,3,62,0,26;27,,1,enemy_hippo,0
6011,野猪前锋,1,1,65,0,8;9;10,,1,enemy_boar,0
6012,犰狳铁卫,1,1,72,0,13;12,,1,enemy_armadillo,0
6015,熊重炮手,1,3,110,0,28;29;30;31,,1,enemy_bear_cannon,0
6021,大象门神,2,1,120,0,14;15;16;17,,1,enemy_street_elephant_boss,0
6023,螳螂冠军,2,3,220,0,33;34;35;36;37,,1,enemy_mantis_champion,0
6031,刺猬球员,0,3,52,0,39;40,,1,enemy_hedgehog,0
6041,猎鹰队长,1,3,100,0,41;42;43,,1,enemy_falcon_captain,0
